name,slug,value,date_of_information,ranking,region
"China","china","$3,511,000,000,000","2023",1,"East and Southeast Asia"
"United States","united-states","$3,052,000,000,000","2023",2,"North America"
"Germany","germany","$2,104,000,000,000","2023",3,"Europe"
"United Kingdom","united-kingdom","$1,075,000,000,000","2023",4,"Europe"
"France","france","$1,052,000,000,000","2023",5,"Europe"
"Netherlands","netherlands","$949,983,000,000","2023",6,"Europe"
"Japan","japan","$920,737,000,000","2023",7,"East and Southeast Asia"
"Singapore","singapore","$873,989,000,000","2023",8,"East and Southeast Asia"
"Italy","italy","$793,589,000,000","2023",9,"Europe"
"India","india","$773,224,000,000","2023",10,"South Asia"
"Korea, South","korea-south","$769,534,000,000","2023",11,"East and Southeast Asia"
"Ireland","ireland","$731,814,000,000","2023",12,"Europe"
"Canada","canada","$717,677,000,000","2023",13,"North America"
"Hong Kong","hong-kong","$673,305,000,000","2023",14,"East and Southeast Asia"
"Switzerland","switzerland","$661,628,000,000","2023",15,"Europe"
"Mexico","mexico","$649,312,000,000","2023",16,"North America"
"Spain","spain","$615,830,000,000","2023",17,"Europe"
"Belgium","belgium","$535,174,000,000","2023",18,"Europe"
"Poland","poland","$469,264,000,000","2023",19,"Europe"
"Russia","russia","$465,432,000,000","2023",20,"Central Asia"
"Australia","australia","$447,508,000,000","2023",21,"Australia and Oceania"
"Brazil","brazil","$389,626,000,000","2023",22,"South America"
"Taiwan","taiwan","$388,490,000,000","2019",23,"East and Southeast Asia"
"Vietnam","vietnam","$374,265,000,000","2023",24,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","$370,974,000,000","2023",25,"Middle East"
"Turkey (Turkiye)","turkey-turkiye","$352,514,000,000","2023",26,"Middle East"
"Thailand","thailand","$336,871,000,000","2023",27,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","$335,238,000,000","2020",28,"Middle East"
"Sweden","sweden","$324,073,000,000","2023",29,"Europe"
"Malaysia","malaysia","$312,857,000,000","2022",30,"East and Southeast Asia"
"Austria","austria","$306,466,000,000","2023",31,"Europe"
"Indonesia","indonesia","$292,790,000,000","2023",32,"East and Southeast Asia"
"Denmark","denmark","$278,917,000,000","2023",33,"Europe"
"Czechia","czechia","$236,688,000,000","2023",34,"Europe"
"Norway","norway","$228,625,000,000","2023",35,"Europe"
"Luxembourg","luxembourg","$176,133,000,000","2023",36,"Europe"
"Hungary","hungary","$172,484,000,000","2023",37,"Europe"
"Israel","israel","$156,165,000,000","2023",38,"Middle East"
"Romania","romania","$137,337,000,000","2023",39,"Europe"
"Portugal","portugal","$136,589,000,000","2023",40,"Europe"
"Qatar","qatar","$128,726,000,000","2023",41,"Middle East"
"Iraq","iraq","$127,079,000,000","2022",42,"Middle East"
"South Africa","south-africa","$124,731,000,000","2023",43,"Africa"
"Finland","finland","$122,953,000,000","2023",44,"Europe"
"Slovakia","slovakia","$121,238,000,000","2023",45,"Europe"
"Iran","iran","$110,882,000,000","2022",46,"Middle East"
"Greece","greece","$106,650,000,000","2023",47,"Europe"
"Chile","chile","$104,349,000,000","2023",48,"South America"
"Philippines","philippines","$103,601,000,000","2023",49,"East and Southeast Asia"
"Kuwait","kuwait","$95,476,000,000","2023",50,"Middle East"
"Kazakhstan","kazakhstan","$90,167,000,000","2023",51,"Central Asia"
"Venezuela","venezuela","$83,401,000,000","2018",52,"South America"
"Argentina","argentina","$83,359,000,000","2023",53,"South America"
"Egypt","egypt","$76,295,000,000","2022",54,"Africa"
"Peru","peru","$73,326,000,000","2023",55,"South America"
"Oman","oman","$69,701,000,000","2022",56,"Middle East"
"Colombia","colombia","$67,762,000,000","2023",57,"South America"
"Bulgaria","bulgaria","$62,118,000,000","2023",58,"Europe"
"Lithuania","lithuania","$61,101,000,000","2023",59,"Europe"
"Nigeria","nigeria","$60,261,000,000","2023",60,"Africa"
"Puerto Rico","puerto-rico","$59,787,000,000","2022",61,"Central America and the Caribbean"
"New Zealand","new-zealand","$59,043,000,000","2023",62,"Australia and Oceania"
"Bangladesh","bangladesh","$58,885,000,000","2023",63,"South Asia"
"Algeria","algeria","$58,816,000,000","2023",64,"Africa"
"Morocco","morocco","$58,556,000,000","2022",65,"Africa"
"Slovenia","slovenia","$57,489,000,000","2023",66,"Europe"
"Ukraine","ukraine","$51,093,000,000","2023",67,"Europe"
"Belarus","belarus","$47,870,000,000","2023",68,"Europe"
"Croatia","croatia","$44,969,000,000","2023",69,"Europe"
"Serbia","serbia","$44,343,000,000","2023",70,"Europe"
"Bahrain","bahrain","$40,344,000,000","2023",71,"Middle East"
"Angola","angola","$36,961,000,000","2023",72,"Africa"
"Panama","panama","$36,569,000,000","2023",73,"Central America and the Caribbean"
"Pakistan","pakistan","$36,442,000,000","2023",74,"South Asia"
"Azerbaijan","azerbaijan","$35,487,000,000","2023",75,"Middle East"
"Ecuador","ecuador","$34,640,000,000","2023",76,"South America"
"Costa Rica","costa-rica","$33,699,000,000","2023",77,"Central America and the Caribbean"
"Libya","libya","$32,380,000,000","2021",78,"Africa"
"Estonia","estonia","$31,939,000,000","2023",79,"Europe"
"Cyprus","cyprus","$28,808,000,000","2023",80,"Europe"
"Latvia","latvia","$27,947,000,000","2023",81,"Europe"
"Cambodia","cambodia","$27,753,000,000","2023",82,"East and Southeast Asia"
"Dominican Republic","dominican-republic","$25,843,000,000","2023",83,"Central America and the Caribbean"
"Ghana","ghana","$25,744,000,000","2022",84,"Africa"
"Malta","malta","$25,417,000,000","2022",85,"Europe"
"Uzbekistan","uzbekistan","$24,536,000,000","2023",86,"Central Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$22,354,000,000","2021",87,"Africa"
"Uruguay","uruguay","$21,286,000,000","2023",88,"South America"
"Macau","macau","$20,985,000,000","2022",89,"East and Southeast Asia"
"Burma","burma","$20,400,000,000","2021",90,"East and Southeast Asia"
"Jordan","jordan","$20,335,000,000","2022",91,"Middle East"
"Paraguay","paraguay","$18,711,000,000","2023",92,"South America"
"Trinidad and Tobago","trinidad-and-tobago","$17,584,000,000","2022",93,"Central America and the Caribbean"
"Sri Lanka","sri-lanka","$17,327,000,000","2023",94,"South Asia"
"Guatemala","guatemala","$17,308,000,000","2023",95,"Central America and the Caribbean"
"Tunisia","tunisia","$17,258,000,000","2022",96,"Africa"
"Cote d'Ivoire","cote-divoire","$17,211,000,000","2022",97,"Africa"
"Mongolia","mongolia","$15,501,000,000","2023",98,"East and Southeast Asia"
"Georgia","georgia","$15,161,000,000","2023",99,"Middle East"
"Brunei","brunei","$14,411,000,000","2022",100,"East and Southeast Asia"
"Armenia","armenia","$14,130,000,000","2023",101,"Middle East"
"Kenya","kenya","$13,859,000,000","2022",102,"Africa"
"Iceland","iceland","$13,490,000,000","2023",103,"Europe"
"Gabon","gabon","$12,935,000,000","2022",104,"Africa"
"Zambia","zambia","$12,444,000,000","2022",105,"Africa"
"Tanzania","tanzania","$11,986,000,000","2022",106,"Africa"
"Bolivia","bolivia","$11,975,000,000","2023",107,"South America"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$11,942,000,000","2023",108,"Europe"
"Lebanon","lebanon","$11,770,000,000","2023",109,"Middle East"
"Papua New Guinea","papua-new-guinea","$11,625,000,000","2021",110,"East and Southeast Asia"
"Guyana","guyana","$11,536,000,000","2022",111,"South America"
"Ethiopia","ethiopia","$10,865,000,000","2023",112,"Africa"
"North Macedonia","north-macedonia","$10,748,000,000","2023",113,"Europe"
