Source,Target,Weight
Afghanistan,United Arab Emirates,45.0
Afghanistan,Pakistan,24.0
Afghanistan,India,22.0
Afghanistan,China,1.0
United Arab Emirates,India,13.0
United Arab Emirates,Japan,10.0
United Arab Emirates,China,8.0
United Arab Emirates,Saudi Arabia,7.0
United Arab Emirates,Iraq,5.0
Pakistan,United States,14.0
Pakistan,China,8.0
Pakistan,Germany,7.0
Pakistan,United Kingdom,6.0
India,United States,18.0
India,United Arab Emirates,6.0
India,China,6.0
India,Bangladesh,4.0
India,Hong Kong,3.0
China,United States,17.0
China,Hong Kong,10.0
China,Japan,6.0
Albania,Italy,45.0
Albania,Spain,8.0
Albania,Germany,6.0
Albania,Greece,5.0
Albania,France,4.0
Albania,China,4.0
Italy,Germany,12.0
Italy,France,11.0
Italy,United States,10.0
Italy,United Kingdom,5.0
Italy,Spain,5.0
Italy,Switzerland,5.0
Spain,France,15.0
Spain,Germany,11.0
Spain,Italy,8.0
Spain,Portugal,8.0
Spain,United Kingdom,7.0
Spain,United States,5.0
Germany,United States,9.0
Germany,China,8.0
Germany,France,8.0
Germany,Netherlands,6.0
Germany,United Kingdom,6.0
Greece,Italy,10.0
Greece,Germany,7.0
Greece,Turkey,5.0
Greece,Cyprus,5.0
Greece,Bulgaria,5.0
France,Germany,13.0
France,Italy,8.0
France,Belgium,8.0
France,United States,7.0
France,Spain,7.0
Algeria,Italy,13.0
Algeria,France,13.0
Algeria,Spain,12.0
Algeria,United States,7.0
Algeria,United Kingdom,7.0
Algeria,India,5.0
Algeria,South Korea,5.0
United States,Canada,16.0
United States,Mexico,15.0
United States,China,9.0
United States,Japan,4.0
United States,South Korea,4.0
United Kingdom,United States,13.0
United Kingdom,Germany,9.0
United Kingdom,Netherlands,8.0
United Kingdom,Ireland,7.0
United Kingdom,Switzerland,6.0
South Korea,China,24.0
South Korea,United States,15.0
South Korea,Vietnam,9.0
South Korea,Hong Kong,6.0
South Korea,Japan,5.0
American Samoa,Australia,25.0
American Samoa,Ghana,19.0
American Samoa,Indonesia,15.6
American Samoa,Burma,10.4
American Samoa,Portugal,5.1
Australia,China,40.0
Australia,Japan,14.0
Australia,South Korea,9.0
Australia,India,6.0
Australia,Taiwan,4.0
Ghana,Switzerland,23.0
Ghana,United Arab Emirates,12.0
Ghana,China,12.0
Ghana,India,9.0
Ghana,Netherlands,5.0
Indonesia,China,22.0
Indonesia,United States,11.0
Indonesia,Japan,8.0
Indonesia,India,6.0
Indonesia,Singapore,5.0
Burma,China,34.0
Burma,Thailand,14.0
Burma,Germany,6.0
Burma,Japan,5.0
Burma,United States,5.0
Portugal,Spain,26.0
Portugal,France,12.0
Portugal,Germany,12.0
Portugal,United States,6.0
Portugal,United Kingdom,5.0
Angola,China,62.0
Angola,India,10.0
Angola,United Arab Emirates,4.0
Angola,Portugal,3.0
Angola,Spain,3.0
Antigua and Barbuda,Suriname,20.0
Antigua and Barbuda,Barbados,17.0
