Source,Target,Weight
Afghanistan,United Arab Emirates,23.0
Afghanistan,Pakistan,17.0
Afghanistan,India,13.0
Afghanistan,Uzbekistan,7.0
Afghanistan,China,9.0
United Arab Emirates,China,18.0
United Arab Emirates,India,10.0
United Arab Emirates,United States,6.0
United Arab Emirates,United Kingdom,4.0
United Arab Emirates,Saudi Arabia,3.0
Pakistan,China,28.0
Pakistan,United Arab Emirates,11.0
Pakistan,United States,5.0
India,China,17.0
India,United Arab Emirates,7.0
India,United States,7.0
India,Switzerland,6.0
India,Saudi Arabia,5.0
Uzbekistan,China,23.0
Uzbekistan,Russia,18.0
Uzbekistan,South Korea,11.0
Uzbekistan,Kazakhstan,9.0
Uzbekistan,Turkey,6.0
Uzbekistan,Germany,5.0
China,South Korea,9.0
China,Japan,8.0
China,Australia,7.0
China,Germany,7.0
China,United States,7.0
China,Taiwan,6.0
Albania,Italy,28.0
Albania,Greece,12.0
Albania,China,11.0
Albania,Turkey,9.0
Albania,Germany,5.0
Italy,Germany,16.0
Italy,France,9.0
Italy,China,7.0
Italy,Spain,5.0
Italy,Netherlands,5.0
Italy,Belgium,5.0
Greece,Germany,11.0
Greece,China,9.0
Greece,Italy,8.0
Greece,Iraq,7.0
Greece,Russia,6.0
Greece,Netherlands,5.0
Turkey,China,13.0
Turkey,Germany,9.0
Turkey,Russia,8.0
Turkey,United States,5.0
Turkey,Italy,5.0
Germany,China,10.0
Germany,Netherlands,10.0
Germany,Poland,7.0
Germany,France,6.0
Germany,Italy,6.0
Algeria,China,18.0
Algeria,France,14.0
Algeria,Italy,8.0
Algeria,Spain,8.0
Algeria,Germany,5.0
Algeria,Turkey,5.0
France,Germany,18.0
France,Belgium,9.0
France,Italy,9.0
France,Spain,7.0
France,China,7.0
France,Netherlands,6.0
France,United Kingdom,5.0
Spain,Germany,13.0
Spain,France,11.0
Spain,China,8.0
Spain,Italy,7.0
American Samoa,Fiji,10.7
American Samoa,Singapore,10.4
American Samoa,New Zealand,10.4
American Samoa,South Korea,9.3
American Samoa,Samoa,8.2
American Samoa,Kenya,6.4
American Samoa,Australia,5.2
Fiji,New Zealand,18.0
Fiji,China,16.0
Fiji,Singapore,14.0
Fiji,Australia,13.0
Fiji,United States,9.0
Singapore,China,16.0
Singapore,Malaysia,11.0
Singapore,United States,9.0
Singapore,Taiwan,7.0
Singapore,Japan,5.0
Singapore,Indonesia,5.0
New Zealand,China,22.0
New Zealand,Australia,15.0
New Zealand,United States,7.0
New Zealand,Japan,6.0
New Zealand,Thailand,5.0
South Korea,China,24.0
South Korea,United States,12.0
South Korea,Japan,9.0
South Korea,Vietnam,4.0
South Korea,Taiwan,4.0
Samoa,New Zealand,24.0
Samoa,China,19.0
Samoa,Singapore,11.0
Samoa,United States,8.0
Samoa,Australia,7.0
Kenya,China,27.0
Kenya,India,11.0
Kenya,United Arab Emirates,7.0
Kenya,Japan,4.0
Kenya,Saudi Arabia,3.0
Australia,China,28.0
Australia,United States,10.0
Australia,Japan,6.0
Australia,Germany,5.0
Australia,Thailand,5.0
Angola,China,22.0
Angola,Portugal,15.0
Angola,Nigeria,6.0
Angola,Belgium,6.0
Angola,United States,5.0
Angola,South Africa,5.0
Angola,Brazil,5.0
Portugal,Spain,31.0
Portugal,Germany,12.0
Portugal,France,6.0
Portugal,Italy,5.0
Portugal,Netherlands,5.0
Nigeria,China,30.0
Nigeria,Netherlands,11.0
Nigeria,United States,6.0
Nigeria,Belgium,5.0
Belgium,Netherlands,16.0
Belgium,Germany,13.0
Belgium,France,10.0
Belgium,United States,8.0
Belgium,Ireland,5.0
Belgium,China,5.0
United States,China,19.0
United States,Mexico,13.0
United States,Canada,13.0
United States,Germany,5.0
United States,Japan,5.0
South Africa,China,18.0
South Africa,Germany,11.0
South Africa,United States,6.0
South Africa,India,5.0
Brazil,China,21.0
Brazil,United States,18.0
Brazil,Germany,6.0
Brazil,Argentina,6.0
Antigua and Barbuda,United States,42.0
Antigua and Barbuda,Poland,25.0
Antigua and Barbuda,China,10.0
Antigua and Barbuda,Brazil,3.0
Antigua and Barbuda,Trinidad and Tobago,2.0
Poland,Germany,25.0
Poland,China,12.0
Poland,Italy,5.0
Poland,Netherlands,5.0
Poland,Czechia,4.0
Trinidad and Tobago,United States,37.0
Trinidad and Tobago,China,9.0
Trinidad and Tobago,Mexico,6.0
Trinidad and Tobago,Brazil,5.0
Trinidad and Tobago,Canada,4.0
Argentina,Brazil,21.0
Argentina,China,18.0
Argentina,United States,14.0
Argentina,Germany,6.0
Armenia,Russia,29.0
Armenia,China,10.0
Armenia,Georgia,8.0
Armenia,Iran,6.0
Armenia,Turkey,5.0
Russia,China,25.0
Russia,Germany,12.0
Russia,Belarus,6.0
Russia,South Korea,4.0
Russia,Poland,3.0
Georgia,Turkey,17.0
Georgia,China,9.0
Georgia,Russia,9.0
Georgia,United States,7.0
Georgia,Azerbaijan,6.0
Iran,China,28.0
Iran,United Arab Emirates,20.0
Iran,India,11.0
Iran,Turkey,7.0
Iran,Brazil,6.0
Iran,Germany,5.0
Aruba,United States,48.0
Aruba,Netherlands,16.0
Netherlands,Germany,15.0
Netherlands,China,11.0
Netherlands,Belgium,9.0
Netherlands,United States,8.0
Netherlands,Russia,7.0
Netherlands,United Kingdom,5.0
Japan,China,22.0
Japan,United States,10.0
Japan,Australia,10.0
Japan,Taiwan,4.0
Japan,South Korea,4.0
Thailand,China,22.0
Thailand,Japan,14.0
Thailand,United States,7.0
Thailand,Malaysia,6.0
Austria,Germany,39.0
Austria,Italy,7.0
Austria,Czechia,5.0
Czechia,Germany,27.0
Czechia,China,12.0
Czechia,Poland,9.0
Czechia,Slovakia,5.0
Azerbaijan,United Kingdom,17.0
Azerbaijan,Russia,17.0
Azerbaijan,Turkey,12.0
Azerbaijan,China,6.0
United Kingdom,China,13.0
United Kingdom,Germany,11.0
United Kingdom,United States,8.0
United Kingdom,Netherlands,6.0
United Kingdom,Norway,5.0
"Bahamas, The",United States,37.0
"Bahamas, The",South Korea,12.0
"Bahamas, The",Germany,9.0
"Bahamas, The",China,7.0
"Bahamas, The",Russia,6.0
Bahrain,United Arab Emirates,24.0
Bahrain,Saudi Arabia,15.0
Bahrain,Brazil,12.0
Bahrain,China,9.0
Bahrain,India,6.0
Saudi Arabia,China,19.0
Saudi Arabia,United Arab Emirates,15.0
Saudi Arabia,United States,8.0
Saudi Arabia,India,6.0
Saudi Arabia,Germany,4.0
Bangladesh,China,32.0
Bangladesh,India,17.0
Bangladesh,Singapore,6.0
Bangladesh,Malaysia,5.0
Bangladesh,Indonesia,5.0
Malaysia,China,29.0
Malaysia,Singapore,11.0
Malaysia,Japan,6.0
Malaysia,United States,6.0
Malaysia,Taiwan,6.0
Indonesia,China,27.0
Indonesia,Singapore,12.0
Indonesia,Japan,8.0
Indonesia,Thailand,5.0
Indonesia,United States,5.0
Indonesia,South Korea,5.0
Indonesia,Malaysia,5.0
Barbados,United States,33.0
Barbados,Guyana,13.0
Barbados,China,11.0
Barbados,Trinidad and Tobago,6.0
Barbados,United Kingdom,4.0
Guyana,Singapore,33.0
Guyana,United States,19.0
Guyana,Trinidad and Tobago,12.0
Guyana,China,8.0
Guyana,Brazil,2.0
Belarus,Russia,57.0
Belarus,China,7.0
Belarus,Poland,5.0
Belarus,Germany,5.0
Belarus,Ukraine,5.0
Ukraine,China,14.0
Ukraine,Russia,11.0
Ukraine,Poland,9.0
Ukraine,Germany,9.0
Ukraine,Belarus,6.0
Ireland,United Kingdom,31.0
Ireland,United States,16.0
Ireland,Germany,10.0
Ireland,Netherlands,5.0
Ireland,France,5.0
Belize,United States,29.0
Belize,China,14.0
Belize,Seychelles,13.0
Belize,Guatemala,10.0
Belize,Mexico,9.0
Seychelles,United Arab Emirates,21.0
Seychelles,Qatar,13.0
Seychelles,British Virgin Islands,7.0
Seychelles,Germany,6.0
Seychelles,France,6.0
Seychelles,China,5.0
Seychelles,Spain,5.0
Seychelles,South Africa,5.0
Guatemala,United States,34.0
Guatemala,China,15.0
Guatemala,Mexico,9.0
Guatemala,El Salvador,4.0
Guatemala,Costa Rica,3.0
Mexico,United States,54.0
Mexico,China,14.0
Benin,China,28.0
Benin,Thailand,9.0
Benin,India,8.0
Benin,Togo,6.0
Benin,United States,5.0
Togo,China,18.0
Togo,South Korea,13.0
Togo,India,11.0
Togo,Belgium,10.0
Togo,Netherlands,8.0
Togo,United States,5.0
Bermuda,United States,44.0
Bermuda,South Korea,17.0
Bermuda,Germany,10.0
Bermuda,Canada,8.0
Canada,United States,57.0
Canada,China,11.0
Canada,Mexico,5.0
Bhutan,India,85.0
Bhutan,Thailand,5.0
Bolivia,Brazil,22.0
Bolivia,Chile,15.0
Bolivia,China,13.0
Bolivia,Peru,11.0
Bolivia,Argentina,8.0
Bolivia,United States,7.0
Chile,China,24.0
Chile,United States,20.0
Chile,Brazil,8.0
Chile,Germany,5.0
Chile,Argentina,5.0
Peru,China,24.0
Peru,United States,22.0
Peru,Brazil,6.0
Bosnia and Herzegovina,Croatia,15.0
Bosnia and Herzegovina,Serbia,13.0
Bosnia and Herzegovina,Germany,10.0
Bosnia and Herzegovina,Italy,9.0
Bosnia and Herzegovina,Slovenia,7.0
Bosnia and Herzegovina,China,6.0
Croatia,Italy,14.0
Croatia,Germany,14.0
Croatia,Slovenia,11.0
Croatia,Hungary,7.0
Croatia,Austria,6.0
Serbia,Germany,13.0
Serbia,Russia,9.0
Serbia,Italy,8.0
Serbia,Hungary,6.0
Serbia,China,5.0
Serbia,Turkey,5.0
Slovenia,Germany,14.0
Slovenia,Italy,12.0
Slovenia,Austria,8.0
Slovenia,Switzerland,8.0
Slovenia,China,7.0
Botswana,South Africa,58.0
