name,slug,value,date_of_information,ranking,region
"United States","united-states","$3,832,000,000,000","2023",1,"North America"
"China","china","$3,125,000,000,000","2023",2,"East and Southeast Asia"
"Germany","germany","$1,927,000,000,000","2023",3,"Europe"
"United Kingdom","united-kingdom","$1,116,000,000,000","2023",4,"Europe"
"France","france","$1,099,000,000,000","2023",5,"Europe"
"Japan","japan","$989,843,000,000","2023",6,"East and Southeast Asia"
"India","india","$859,485,000,000","2023",7,"South Asia"
"Netherlands","netherlands","$825,799,000,000","2023",8,"Europe"
"Korea, South","korea-south","$761,102,000,000","2023",9,"East and Southeast Asia"
"Italy","italy","$756,154,000,000","2023",10,"Europe"
"Canada","canada","$726,139,000,000","2023",11,"North America"
"Singapore","singapore","$686,656,000,000","2023",12,"East and Southeast Asia"
"Mexico","mexico","$673,828,000,000","2023",13,"North America"
"Hong Kong","hong-kong","$670,085,000,000","2023",14,"East and Southeast Asia"
"Switzerland","switzerland","$554,358,000,000","2023",15,"Europe"
"Spain","spain","$550,576,000,000","2023",16,"Europe"
"Ireland","ireland","$548,827,000,000","2023",17,"Europe"
"Belgium","belgium","$545,471,000,000","2023",18,"Europe"
"Poland","poland","$419,701,000,000","2023",19,"Europe"
"Turkey (Turkiye)","turkey-turkiye","$386,828,000,000","2023",20,"Middle East"
"Russia","russia","$378,615,000,000","2023",21,"Central Asia"
"Australia","australia","$363,573,000,000","2023",22,"Australia and Oceania"
"Brazil","brazil","$346,639,000,000","2023",23,"South America"
"Vietnam","vietnam","$339,767,000,000","2023",24,"East and Southeast Asia"
"Thailand","thailand","$328,009,000,000","2023",25,"East and Southeast Asia"
"Taiwan","taiwan","$308,744,000,000","2019",26,"East and Southeast Asia"
"Sweden","sweden","$296,796,000,000","2023",27,"Europe"
"Saudi Arabia","saudi-arabia","$291,565,000,000","2023",28,"Middle East"
"Austria","austria","$288,146,000,000","2023",29,"Europe"
"Malaysia","malaysia","$283,601,000,000","2022",30,"East and Southeast Asia"
"Indonesia","indonesia","$264,426,000,000","2023",31,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","$246,886,000,000","2020",32,"Middle East"
"Denmark","denmark","$240,269,000,000","2023",33,"Europe"
"Czechia","czechia","$219,393,000,000","2023",34,"Europe"
"Hungary","hungary","$161,558,000,000","2023",35,"Europe"
"Norway","norway","$157,032,000,000","2023",36,"Europe"
"Romania","romania","$154,106,000,000","2023",37,"Europe"
"Philippines","philippines","$150,269,000,000","2023",38,"East and Southeast Asia"
"Luxembourg","luxembourg","$146,807,000,000","2023",39,"Europe"
"Israel","israel","$137,567,000,000","2023",40,"Middle East"
"Portugal","portugal","$133,006,000,000","2023",41,"Europe"
"Finland","finland","$124,221,000,000","2023",42,"Europe"
"South Africa","south-africa","$123,541,000,000","2023",43,"Africa"
"Slovakia","slovakia","$118,869,000,000","2023",44,"Europe"
"Greece","greece","$117,922,000,000","2023",45,"Europe"
"Iran","iran","$102,470,000,000","2022",46,"Middle East"
"Chile","chile","$99,808,000,000","2023",47,"South America"
