Node,Degree,Eigenvector,Betweenness,Closeness,PageRank,ClusteringCoefficient
Afghanistan,0.02427184466019417,1.3554096221018636e-20,0.0,0.0,0.0007292856362590274,0.35
United Arab Emirates,0.23300970873786406,9.984308015787553e-08,0.0068511815492634815,0.2405881120346441,0.00835209712351223,0.07060390763765542
Pakistan,0.029126213592233007,9.487867354713043e-19,0.00015391901491830452,0.014563106796116505,0.0010270419297771704,0.3
India,0.22815533980582522,8.69949690609107e-08,0.00507259940837966,0.2214685269722883,0.008377096316152,0.07275254865616311
Uzbekistan,0.04368932038834951,9.487867354713043e-19,0.000459555638930491,0.014563106796116505,0.0008713158249619896,0.2777777777777778
China,0.8834951456310679,0.560728631433073,0.05232079770677924,0.871815616961248,0.207458402416915,0.027330701488004858
Albania,0.02427184466019417,1.3554096221018636e-20,0.0,0.0,0.0007292856362590274,0.55
Italy,0.1844660194174757,0.12859268859823475,0.007950250278571382,0.43497836752437535,0.02154432596317104,0.13
Greece,0.06310679611650485,3.305844068306445e-17,0.0015274066055501055,0.032766990291262135,0.001447141784237336,0.1858974358974359
Turkey,0.1699029126213592,1.0175466656005353e-15,0.004716804559925565,0.1611491325799777,0.003752367855063541,0.07394957983193277
Germany,0.33009708737864074,0.38697453143752153,0.045476787597910025,0.582871012482663,0.08868413487470395,0.08490981082270127
Algeria,0.038834951456310676,6.370425223878757e-19,0.00025399456491097505,0.009708737864077669,0.0009467480265870722,0.4107142857142857
France,0.19417475728155337,0.13044276259878346,0.013217718950610252,0.42678839826136405,0.02297204150593666,0.10244845360824742
Spain,0.08737864077669902,0.0505840425997234,0.0010519020932234287,0.32904008769182586,0.006997856213169098,0.1986754966887417
American Samoa,0.03398058252427184,1.3554096221018636e-20,0.0,0.0,0.0007292856362590274,0.16666666666666666
Fiji,0.04368932038834951,1.2605309485547327e-18,0.0001640111408048893,0.019417475728155338,0.001122188067800969,0.3194444444444444
Singapore,0.14563106796116504,0.0018005490388043504,0.0059224001457011165,0.22320005948460836,0.003946308807804947,0.10508083140877598
New Zealand,0.06796116504854369,1.996518373356044e-17,0.00028596236031708445,0.043689320388349516,0.0019405552599804773,0.21978021978021978
South Korea,0.1407766990291262,0.236847040194796,0.006380379690822504,0.506215519525886,0.04784419215171661,0.1480099502487562
Samoa,0.029126213592233007,3.2529830930444737e-19,1.5222759717194952e-05,0.0048543689320388345,0.0008131655188452555,0.43333333333333335
Kenya,0.04854368932038834,5.553257098482719e-12,0.00027649042093749645,0.024271844660194174,0.0012910969124280648,0.2777777777777778
Australia,0.08252427184466019,0.17511354667870338,0.017532792147994605,0.48228097959558397,0.04163761898877457,0.23880597014925373
Angola,0.04368932038834951,7.35650345271572e-12,0.000949561922803694,0.018275271273557964,0.000946841618519337,0.2222222222222222
Portugal,0.04368932038834951,5.5532602159248515e-12,0.0006215960217854606,0.021754764473211074,0.0018826438346964953,0.2638888888888889
Nigeria,0.04368932038834951,5.5532605276690634e-12,0.0005564764385507933,0.027346278317152105,0.0011198589351751626,0.2361111111111111
Belgium,0.09708737864077668,0.08520539309849685,0.0059541381474841094,0.3451858787968393,0.011067678734359218,0.22340425531914893
United States,0.47087378640776695,0.41575171853872794,0.01949599680715002,0.6277072442120986,0.12641815114359453,0.04922613929492691
South Africa,0.09223300970873785,2.2825607439793647e-11,0.0025825129957263507,0.07766990291262137,0.004528922709732612,0.10818713450292397
Brazil,0.1116504854368932,1.649130805700554e-11,0.0021792841305036427,0.10858081096516276,0.003105999190030434,0.11904761904761904
Antigua and Barbuda,0.02427184466019417,1.3554096221018636e-20,0.0,0.0,0.0007292856362590274,0.4
Poland,0.08737864077669902,0.08965318657564922,0.01920505928675476,0.38564244682217774,0.01643528067908353,0.24834437086092714
Trinidad and Tobago,0.07766990291262135,3.7734603879315856e-17,0.000642062176516356,0.05339805825242718,0.001552220294532862,0.15416666666666667
Argentina,0.04854368932038834,1.3213098391818727e-11,0.00034713530214359003,0.07310391233298087,0.001445678231808658,0.36363636363636365
Armenia,0.02427184466019417,1.3554096221018636e-20,0.0,0.0,0.0007292856362590274,0.4
Russia,0.16019417475728154,0.037110265720641446,0.014290873109840667,0.35294957503275437,0.010343996533794373,0.08918406072106262
Georgia,0.029126213592233007,3.2529830930444737e-19,9.47193937958797e-05,0.0048543689320388345,0.0008147880901652583,0.4
Iran,0.03398058252427184,3.2529830930444737e-19,0.00020404136080195756,0.0048543689320388345,0.0007934124766887005,0.2857142857142857
Aruba,0.009708737864077669,1.3554096221018636e-20,0.0,0.0,0.0007292856362590274,0.5
Netherlands,0.1699029126213592,0.1772887863190983,0.020822112741364432,0.4312999035283976,0.03212743007043977,0.11908783783783784
Japan,0.1699029126213592,0.3361199706743046,0.0023462988191853924,0.517778818195259,0.06607594664006214,0.16440677966101694
Thailand,0.07281553398058252,0.043288101952585485,0.012766990291262135,0.3422900241089463,0.005368298456804739,0.18095238095238095
Austria,0.029126213592233007,0.00014254625264488574,9.82713710632252e-05,0.1576544469620804,0.0010623698155787567,0.4
Czechia,0.038834951456310676,0.018407421417554668,0.013712210908516853,0.2809984219957742,0.002269146778533399,0.46153846153846156
Azerbaijan,0.02427184466019417,3.7544846532221625e-18,0.00014546192618652954,0.006472491909385113,0.0008158568708390862,0.35
United Kingdom,0.10679611650485436,0.06334388441347934,0.016436727820814966,0.3649460722163364,0.007532283404869954,0.12608695652173912
"Bahamas, The",0.02427184466019417,1.3554096221018636e-20,0.0,0.0,0.0007292856362590274,0.55
Bahrain,0.02427184466019417,1.3554096221018636e-20,0.0,0.0,0.0007292856362590274,0.5
Saudi Arabia,0.07766990291262135,8.69753079243306e-08,0.0010366699367409763,0.1760091977516607,0.0031101271436723126,0.2711864406779661
Bangladesh,0.02427184466019417,1.3554096221018636e-20,0.0,0.0,0.0007292856362590274,0.45
Malaysia,0.07766990291262135,0.008871605082483231,0.008594708630228402,0.2691356917795937,0.002567299821253937,0.24789915966386555
